OUTID,STID,BIRTH,SEXTYPENAME,REGNAME,AREANAME,TERNAME,REGTYPENAME,TERTYPENAME,CLASSPROFILENAME,CLASSLANGNAME,EONAME,EOTYPENAME,EOREGNAME,EOAREANAME,EOTERNAME,EOPARENT,UKRTEST,UKRTESTSTATUS,UKRBALL100,UKRBALL12,UKRPTNAME,UKRPTREGNAME,UKRPTAREANAME,UKRPTTERNAME,HISTTEST,HISTLANG,HISTTESTSTATUS,HISTBALL100,HISTBALL12,HISTPTNAME,HISTPTREGNAME,HISTPTAREANAME,HISTPTTERNAME,MATHTEST,MATHLANG,MATHTESTSTATUS,MATHBALL100,MATHBALL12,MATHPTNAME,MATHPTREGNAME,MATHPTAREANAME,MATHPTTERNAME,PHYSTEST,PHYSLANG,PHYSTESTSTATUS,PHYSBALL100,PHYSBALL12,PHYSPTNAME,PHYSPTREGNAME,PHYSPTAREANAME,PHYSPTTERNAME,CHEMTEST,CHEMLANG,CHEMTESTSTATUS,CHEMBALL100,CHEMBALL12,CHEMPTNAME,CHEMPTREGNAME,CHEMPTAREANAME,CHEMPTTERNAME,BIOTEST,BIOLANG,BIOTESTSTATUS,BIOBALL100,BIOBALL12,BIOPTNAME,BIOPTREGNAME,BIOPTAREANAME,BIOPTTERNAME,GEOTEST,GEOLANG,GEOTESTSTATUS,GEOBALL100,GEOBALL12,GEOPTNAME,GEOPTREGNAME,GEOPTAREANAME,GEOPTTERNAME,ENGTEST,ENGTESTSTATUS,ENGBALL100,ENGBALL12,ENGPTNAME,ENGPTREGNAME,ENGPTAREANAME,ENGPTTERNAME,FRATEST,FRATESTSTATUS,FRABALL100,FRABALL12,FRAPTNAME,FRAPTREGNAME,FRAPTAREANAME,FRAPTTERNAME,DEUTEST,DEUTESTSTATUS,DEUBALL100,DEUBALL12,DEUPTNAME,DEUPTREGNAME,DEUPTAREANAME,DEUPTTERNAME,SPATEST,SPATESTSTATUS,SPABALL100,SPABALL12,SPAPTNAME,SPAPTREGNAME,SPAPTAREANAME,SPAPTTERNAME,RUSTEST,RUSTESTSTATUS,RUSBALL100,RUSBALL12,RUSPTNAME,RUSPTREGNAME,RUSPTAREANAME,RUSPTTERNAME,CERTNUM,UKRBALL,HISTBALL,MATHBALL,PHYSBALL,CHEMBALL,BIOBALL,GEOBALL,ENGBALL,FRABALL,DEUBALL,SPABALL,RUSBALL
713FD325-29A5-4639-AF4B-BE8570B78E3E,C3660E43-0870-47C0-97CE-71D864E8A9C6,1999,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,171.0,10.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,Математика,українська,Зараховано,159.0,8.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,165.0,9.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Англійська мова,Зараховано,145.0,,Чернівецька загальноосвітня школа І-ІІІ ступенів №24 ім. О. Кобилянської Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386264,75.0,,35.0,,,,60.0,32.0,,,,
476234F4-82AF-4AE6-B7F8-877F96D38518,A2E23E37-7F5E-4F12-BC0D-04C210A81AAF,1999,чоловіча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Інший,українська,Чернівецький ліцей №2 Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,172.0,9.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,Математика,українська,Зараховано,186.0,11.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Фізика,українська,Зараховано,193.0,12.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №24 ім. О. Кобилянської Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378952,76.0,,51.0,50.0,,,,,,,,
4D1889D1-EAFD-4B7C-BF2F-B64DE657BE29,76F4CD88-DF7D-42CD-A351-92FFA89BA8DF,1999,чоловіча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Універсальний,українська,"Чернівецька спеціалізована школа ""Освітні ресурси та технологічний тренінг"" І-ІІІ ступенів №41 з вивченням єврейського етнокультурного компонента Чернівецької міської ради",спеціалізована школа,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,126.0,7.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,Математика,українська,Не подолав поріг,,4.0,Чернівецька спеціалізована школа І-ІІІ ступенів фізико-математичного профілю №6 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,104.0,4.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370233,42.0,,10.0,,,,29.0,,,,,
109DF224-57BF-4B46-915D-6206C8B438F7,8CC3A8D0-69E1-4F19-BE27-A50D675735EB,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,167.0,9.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Історія України,українська,Зараховано,114.0,10.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №24 ім. О. Кобилянської Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,Хімія,українська,Зараховано,196.0,12.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Біологія,українська,Зараховано,160.0,,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385441,72.0,32.0,,,76.0,45.0,,,,,,
41F1DF3B-A0B1-4A08-B1DF-2A671BD7C886,251F39A5-8335-4900-885A-3AA191A3B395,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,163.0,9.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,українська,Зараховано,150.0,8.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,135.0,7.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №24 ім. О. Кобилянської Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385574,69.0,47.0,,,,,,28.0,,,,
3E4645CB-67E3-47D8-9427-BE1136A45273,2A524D6C-D3D9-456A-8611-6DC5085ECC8A,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Української філології,румунська,Чернівецька гімназія №6 Чернівецької міської ради,гімназія,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,181.0,11.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,українська,Зараховано,144.0,6.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №24 ім. О. Кобилянської Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,153.0,8.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325453,84.0,44.0,,,,,53.0,,,,,
65C4E333-68D5-4E2C-8175-8AFDBEBE119F,5B0041AE-0250-4EDA-B968-9EEBE2873D38,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,155.0,9.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Історія України,українська,Зараховано,165.0,7.0,Чернівецька гімназія №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,Хімія,українська,Не з’явився,,,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Біологія,українська,Зараховано,151.0,7.0,Чернівецька спеціалізована школа І-ІІІ ступенів фізико-математичного профілю №6 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385699,63.0,58.0,,,,40.0,,,,,,
AED0576E-4996-4C39-B027-5B51858965D4,3FDB5C13-E58C-40C1-B92E-AB5E5B23A99D,1999,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Універсальний,російська,Чернівецька загальноосвітня школа І-ІІІ ступенів №4 Чернівецької міської ради,середня загальноосвітня школа,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,138.0,7.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Історія України,українська,Зараховано,133.0,6.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,Біологія,українська,Зараховано,139.0,6.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400941,50.0,39.0,,,,35.0,,,,,,
8608DCEC-32B1-4C8E-9BAB-AEF4876FF111,0C871A9C-C701-4881-804A-3FCA10FADF62,1999,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Інший,українська,Чернівецький ліцей №2 Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,155.0,9.0,Чернівецька спеціалізована школа І-ІІІ ступенів фізико-математичного профілю №6 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,українська,Зараховано,122.0,7.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,109.0,5.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378905,63.0,35.0,,,,,32.0,,,,,
4E5E518E-4128-45E6-9734-8210C16B4924,F9A1E583-ABB6-4DA6-A280-6EA7AF49487E,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Іноземної філології,українська,Чернівецька гімназія №3 Чернівецької міської ради,гімназія,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,131.0,6.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,українська,Зараховано,140.0,6.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Французька мова,Не подолав поріг,,3.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,345823,45.0,42.0,,,,,,,9.0,,,
65105314-6EC1-4A52-BD0C-CB9BEC4565ED,B3718AB0-330C-4424-9E64-6639383C4B3F,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Іноземної філології,українська,Чернівецька гімназія №3 Чернівецької міської ради,гімназія,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,153.0,7.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,українська,Зараховано,133.0,7.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Французька мова,Зараховано,127.0,6.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,345897,61.0,39.0,,,,,,,25.0,,,
6877CD8D-FA5A-47E1-9FA3-D681855D21B1,CF8AA715-F11A-45CB-B35E-AA82FEA58EC6,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,157.0,8.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №31 Чернівецької міської ради,Чернівецька область,м.Чернівці. Садгірський район міста,Садгірський район міста,Історія України,українська,Зараховано,151.0,8.0,Чернівецька гімназія №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,Біологія,українська,Зараховано,165.0,8.0,Чернівецька спеціалізована школа І-ІІІ ступенів фізико-математичного профілю №6 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,Англійська мова,Зараховано,145.0,,Чернівецька загальноосвітня школа І-ІІІ ступенів №24 ім. О. Кобилянської Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384848,64.0,48.0,,,,48.0,,32.0,,,,
68E0F419-CAE5-473F-BECC-285FB9A548E2,D9179F41-D991-4979-81D9-9A112D9348F8,2000,чоловіча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,154.0,9.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,українська,Зараховано,117.0,10.0,Чернівецька гімназія №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,Хімія,українська,Зараховано,166.0,,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Біологія,українська,Зараховано,160.0,8.0,Чернівецька спеціалізована школа І-ІІІ ступенів фізико-математичного профілю №6 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384383,62.0,33.0,,,53.0,45.0,,,,,,
6C7E3107-F1B7-45AE-961C-B8E71411EC4F,A46B6332-8EB6-4A3A-BA75-B38B35D264DE,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,184.0,11.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,Математика,українська,Зараховано,162.0,9.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,Хімія,українська,Зараховано,173.0,,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Біологія,українська,Зараховано,184.0,10.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385688,86.0,,37.0,,58.0,62.0,,,,,,
063163D6-9C4F-4B33-8C1C-68626C7C9C35,04639423-1FF0-41C6-A4FA-ABA5B4BA8776,2000,чоловіча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Екологічний,українська,Чернівецька загальноосвітня школа І-ІІІ ступенів №16 Чернівецької міської ради,середня загальноосвітня школа,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,172.0,10.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №31 Чернівецької міської ради,Чернівецька область,м.Чернівці. Садгірський район міста,Садгірський район міста,,,,,,,,,,Математика,українська,Зараховано,157.0,8.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Фізика,українська,Зараховано,156.0,8.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370367,76.0,,34.0,26.0,,,,,,,,
2700A39A-9770-4855-842C-2951A6132417,32472241-F223-4656-A036-7E5801301FD6,2000,чоловіча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Української філології,українська,"Комунальна обласна спеціалізована школа-інтернат ІІ-ІІІ ступенів з поглибленим вивченням окремих предметів ""Багатопрофільний ліцей для обдарованих дітей""",середня загальноосвітня школа-інтернат,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Департамент освіти і науки Чернівецької обласної державної адміністрації,Українська мова і література,Зараховано,131.0,5.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №31 Чернівецької міської ради,Чернівецька область,м.Чернівці. Садгірський район міста,Садгірський район міста,Історія України,українська,Зараховано,138.0,7.0,Чернівецька спеціалізована школа І-ІІІ ступенів фізико-математичного профілю №6 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,118.0,5.0,Чернівецька гімназія №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370287,45.0,41.0,,,,,36.0,,,,,
D969CC6E-9120-4F86-94CB-06DDBB3722B1,25CDEF69-FA4E-4F66-8B7A-C6BB52982FB3,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Універсальний,українська,Чернівецька гімназія №2 Чернівецької міської ради,гімназія,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,124.0,6.0,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Історія України,російська,Зараховано,117.0,6.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Географія,російська,Зараховано,122.0,6.0,Чернівецька гімназія №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344372,41.0,33.0,,,,,38.0,,,,,
BB59C6BD-77FF-482D-A465-3A6FCD0078EE,86B75B6C-0862-4061-A424-EDF9285A56DB,2000,жіноча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Біолого-хімічний,українська,Чернівецький ліцей №3 медичного профілю Чернівецької міської ради,ліцей,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,191.0,,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,Хімія,українська,Зараховано,184.0,,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,Біологія,українська,Зараховано,183.0,,Чернівецька гімназія № 1 імені Тараса Григоровича Шевченка Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401397,93.0,,,,66.0,61.0,,,,,,
6D73C1EA-4F57-437A-91B3-CBC98859434C,C761C8E8-11B1-41B0-9938-6EAE662B1473,2000,чоловіча,Чернівецька область,м.Чернівці,Першотравневий район міста,Випускник загальноосвітнього навчального закладу 2017 року,місто,Універсальний,українська,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,середня загальноосвітня школа,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,Управління освіти Чернівецької міської ради,Українська мова і література,Зараховано,159.0,10.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №27 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,Математика,українська,Зараховано,173.0,10.0,Чернівецький багатопрофільний ліцей №4 Чернівецької міської ради,Чернівецька область,м.Чернівці. Шевченківський район міста,Шевченківський район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,188.0,11.0,Чернівецька загальноосвітня школа І-ІІІ ступенів №2 ім. Ю. Федьковича Чернівецької міської ради,Чернівецька область,м.Чернівці. Першотравневий район міста,Першотравневий район міста,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347613,66.0,,43.0,,,,,49.0,,,,
